state_districtid,dist_area,area_units
1,21440077.5,square meters
2,91663153.74,square meters
3,156030216.9,square meters
4,2086387224,square meters
5,3661046830,square meters
6,3.17E+11,square meters
7,74500733.16,square meters
8,1853327491,square meters
9,67659076253,square meters
10,31600604716,square meters
11,154536900.3,square meters
12,2533372561,square meters
13,239925440.9,square meters
14,863921713.1,square meters
15,75899156.87,square meters
16,7724665.638,square meters
17,11475018.29,square meters
18,10884988.13,square meters
19,6677807.86,square meters
20,23255226,square meters
21,274900479.6,square meters
22,27385502.65,square meters
23,16051199.17,square meters
24,79254017.29,square meters
25,25164816.16,square meters
26,20438118.12,square meters
27,18019685.2,square meters
28,1741714774,square meters
29,10055745877,square meters
30,501004252,square meters
31,9555623400,square meters
32,1.31E+11,square meters
33,25914713180,square meters
34,2407771252,square meters
35,52664601687,square meters
36,37349270024,square meters
37,3.31E+11,square meters
38,91678844900,square meters
39,1.92E+11,square meters
40,4.10E+11,square meters
